,tr_build_number,tr_status,tr_tests_ran,tr_tests_failed,gh_project_name,gh_lang,gh_team_size,git_num_committers,gh_sloc,git_commit,gh_by_core_team_member,gh_is_pr,gh_pull_req_num,gh_description_complexity,gh_num_commit_comments,gh_num_pr_comments,gh_num_issue_comments
3470,243,passed,False,False,Azure/azure-sdk-for-ruby,ruby,3,1,6210,a7de98b2755c6d9027f841a826af6b03bf3e4a72,True,True,188.0,9.0,0,0,3
3478,250,passed,False,False,Azure/azure-sdk-for-ruby,ruby,3,1,6348,8e8cdf2415da5f2ac95e4ddda0ed29e8046fe97c,True,True,209.0,23.0,0,0,1
3490,281,passed,False,False,Azure/azure-sdk-for-ruby,ruby,3,1,6229,aebc1f2bb69c3db2ad381531abf69fdaf7f98d47,True,True,224.0,28.0,2,0,0
3548,326,passed,False,False,Azure/azure-sdk-for-ruby,ruby,2,1,6504,2321b6173edf4a6feca9cc36da512feef77b6705,True,True,246.0,8.0,1,0,0
3596,30,failed,False,False,AzureAD/azure-activedirectory-library-for-android,java,1,1,7579,09d56d0b92d8f9728f96c3adc9dbd15c67ce18b6,False,False,,,2,0,0
3597,32,failed,False,False,AzureAD/azure-activedirectory-library-for-android,java,1,1,7244,38bf026a5a865b76ec1354ff5e62cb40fc518f04,False,False,,,2,0,0
3598,36,errored,False,False,AzureAD/azure-activedirectory-library-for-android,java,1,1,7242,574e4c8d1d4552d08bc0cf657a905b79327fa6a7,False,False,,,13,0,0
3599,40,passed,False,False,AzureAD/azure-activedirectory-library-for-android,java,1,1,7284,189c3f56348edc040c7c4b84f16fc19710f5eb68,False,False,,,6,0,0
3600,42,failed,False,False,AzureAD/azure-activedirectory-library-for-android,java,1,1,7277,683253bf145631b5f4e21af429238180d00cc9d6,False,False,,,21,0,0
3624,108,passed,False,False,AzureAD/azure-activedirectory-library-for-android,java,3,1,7810,cdcdd44a78c04b4a0ef0e78196240e25601e0b99,False,False,,,1,0,0
3625,112,passed,False,False,AzureAD/azure-activedirectory-library-for-android,java,3,1,8048,620fb94f4be0d9716e0739640e75cc6fa60077dc,False,False,,,1,0,0
3632,127,passed,False,False,AzureAD/azure-activedirectory-library-for-android,java,3,1,7805,48b68afa1d61fb000f30c0aa140c23b22392e649,True,False,,,1,0,0
3650,171,errored,False,False,AzureAD/azure-activedirectory-library-for-android,java,3,1,7805,0a144fbe57541ea2f19e7e3fe3db3df7a43e9840,False,False,,,1,0,0
3664,194,errored,False,False,AzureAD/azure-activedirectory-library-for-android,java,3,1,8522,084ab5a6df4af5e551b0ddcbffddef8491d0dee3,True,False,,,1,0,0
3668,200,errored,False,False,AzureAD/azure-activedirectory-library-for-android,java,3,1,7805,17dd1012540d8a929084b74ee75824b20da7bfde,True,False,,,1,0,0
3685,251,errored,False,False,AzureAD/azure-activedirectory-library-for-android,java,4,2,9610,f244e872da8f8b7c5bdd5aee92faa04ab8f8b84b,False,False,,,1,0,0
3853,662,passed,False,False,AzureAD/azure-activedirectory-library-for-android,java,2,1,6328,e33bcfd0e906e358b5c7d9f51504827f942e4e24,False,False,,,4,0,0
3899,35,passed,False,False,BBC-News/wraith,ruby,9,2,292,63675b7a0587133ddf04a00ac1d6a02b2eff423a,False,False,,,3,0,0
3901,36,passed,False,False,BBC-News/wraith,ruby,9,2,292,7e01ac9f7cf98fce3923ae37b3e8e189b3f2990f,False,True,76.0,9.0,3,0,0
3911,45,failed,False,False,BBC-News/wraith,ruby,9,1,295,53890be4e788cab9aa0ba4eb81327fe9d038ecb0,False,True,77.0,4.0,0,3,1
3919,52,passed,False,False,BBC-News/wraith,ruby,10,1,295,a01d1f1cd856c14610050bcd272cbd8035eecb38,False,True,78.0,20.0,0,0,2
3929,57,failed,False,False,BBC-News/wraith,ruby,10,1,298,a2035f78fe33a5da6efdd892bea0bf48489c5228,False,True,78.0,20.0,0,0,1
3939,71,passed,False,False,BBC-News/wraith,ruby,10,1,339,197831101c77fa32346f0bcff6f7b2189c075cbd,False,True,80.0,41.0,0,0,1
3991,99,passed,False,False,BBC-News/wraith,ruby,10,1,376,324cbab7b8afc99d8db6116f7eb7d422bcd69b14,True,True,85.0,12.0,0,0,1
3995,102,passed,False,False,BBC-News/wraith,ruby,10,1,376,95871fcbe0cbe7aa748546fd01da0ca47748f5f1,True,True,85.0,12.0,0,6,2
3999,104,passed,False,False,BBC-News/wraith,ruby,10,1,376,265d7a6b4acd846d5b8eac4cf04f3eb55310a27b,True,True,85.0,12.0,0,0,1
4019,116,passed,False,False,BBC-News/wraith,ruby,10,1,392,f87d27b8a90e2d16f3057971d85d0a5c99cff1f9,True,True,88.0,37.0,0,0,3
4093,168,passed,False,False,BBC-News/wraith,ruby,10,1,407,167a04ca777ff53f5cca8ea074ffb8a7d7639f05,False,True,93.0,102.0,0,0,1
4095,179,errored,False,False,BBC-News/wraith,ruby,11,1,458,d1dc56898321890acbe927d7703e608bf8e009de,True,False,,,2,0,0
4097,180,errored,False,False,BBC-News/wraith,ruby,11,1,458,6d62bd826c7a0e2d62ddb50c3e488c918c19a192,True,True,102.0,6.0,2,0,0
4107,189,failed,False,False,BBC-News/wraith,ruby,11,1,464,c597e1b11661b04d2d0f6981ec4f454520ca151a,True,True,106.0,54.0,0,0,2
4109,191,passed,False,False,BBC-News/wraith,ruby,11,1,464,960056ef954df49aa3094b2e4cf330ac1070902c,False,True,106.0,54.0,0,0,3
4131,283,passed,False,False,BBC-News/wraith,ruby,9,1,474,10be5303dbebae28913429dc5dd28044ac7bb94b,True,False,,,2,0,0
4167,305,passed,False,False,BBC-News/wraith,ruby,7,1,491,b23c7c3823f7eb69ff9894d891d723f8ca69e65e,True,True,146.0,8.0,0,6,0
4173,323,passed,False,False,BBC-News/wraith,ruby,7,1,519,721c7abbc256423f0e01f7c3e5717bb2d4261adc,True,True,152.0,6.0,0,0,2
4177,334,passed,False,False,BBC-News/wraith,ruby,7,2,549,c425f3b8e74a4cc00ac6c00e71d447aacd3b0daa,True,True,154.0,87.0,0,0,4
4183,340,passed,False,False,BBC-News/wraith,ruby,7,1,558,66136d5838394c6d182c6fe0131f5798bb3bb401,True,True,166.0,3.0,0,0,1
4199,350,passed,False,False,BBC-News/wraith,ruby,7,1,556,7f372c0105b55559b22ce60c2c5addcc1cce86b3,True,True,167.0,30.0,0,0,1
4251,387,passed,False,False,BBC-News/wraith,ruby,8,1,589,b97d1207167179b0a5f61b9ad462e41d2e2a0b63,True,True,180.0,39.0,0,0,1
4261,392,passed,False,False,BBC-News/wraith,ruby,8,1,541,3d949fd0beb5017fa65d09a72acd88c39adb7d3d,True,True,181.0,13.0,0,0,1
4265,394,passed,False,False,BBC-News/wraith,ruby,8,1,589,f61ee004f779b2147b7367b71a512f8694eb49f3,True,True,180.0,39.0,0,0,1
4273,398,passed,False,False,BBC-News/wraith,ruby,8,1,602,f23371d1211b2bb26e69b16564dac0d11c4a2d04,True,True,180.0,39.0,0,0,1
4291,415,failed,False,False,BBC-News/wraith,ruby,7,1,607,49a9f167ee85b76ce5cb832a051f7725e8c28e51,True,True,189.0,29.0,0,0,1
4301,420,passed,False,False,BBC-News/wraith,ruby,7,1,607,3720b2dce1623d1a76a44a2d93b578af20905869,True,True,189.0,29.0,0,2,0
4616,44,errored,False,False,Berico-Technologies/CLAVIN,java,6,1,1796,adf290d77d35bc680311cd95e14e09232d57d023,True,True,66.0,8.0,0,0,1
4625,62,passed,False,False,Berico-Technologies/CLAVIN,java,6,1,1796,618cd4707d5c870e06efb5f804e8c769955a9a54,True,True,78.0,2.0,0,0,1
4685,18,passed,False,False,BoltsFramework/Bolts-Android,java,3,1,1134,2fadb2d1759d5e3df7875700b61b0bb52b0ea807,True,True,25.0,16.0,0,0,1
4704,67,passed,False,False,BoltsFramework/Bolts-Android,java,3,1,1410,c5092e140eac31cc857210e91fb0e8b4558496e0,True,True,34.0,63.0,0,2,1
4712,27,passed,True,False,BuildCraft/BuildCraft,java,18,2,47488,be16ec05ed48b6ba8c5dd18752bde57871909167,True,True,1697.0,14.0,1,0,2
4713,29,passed,True,False,BuildCraft/BuildCraft,java,18,1,47492,3e20f0c689a316baaf4bb942fddda35660180d2c,True,True,1698.0,35.0,1,0,0
4714,34,passed,True,False,BuildCraft/BuildCraft,java,18,1,47775,fbf3a2aae0d6431683c382065bd4604bac32e0da,True,True,1688.0,31.0,0,1,0
4750,82,passed,True,False,BuildCraft/BuildCraft,java,18,1,47834,0f97b1314dedbe220d6f27eae997c087a981c093,True,True,1715.0,5.0,0,0,2
4809,197,failed,False,False,BuildCraft/BuildCraft,java,19,1,48290,1fc3890b96eb56936f1460aaeb77ad8065cf7248,True,False,,,3,0,0
4830,222,passed,True,False,BuildCraft/BuildCraft,java,19,1,48390,af402df7f9e3691523209f7a193c8984c4048ee9,True,False,,,1,0,0
4836,224,passed,True,False,BuildCraft/BuildCraft,java,19,1,48390,9dec03144942ad90bdea659841c1a626afc28506,True,False,,,1,0,0
4842,242,failed,True,False,BuildCraft/BuildCraft,java,19,1,48440,61cc4d5d6159cb0bf5141b9703055c68a6a247fb,True,False,,,1,0,0
4843,243,passed,True,False,BuildCraft/BuildCraft,java,19,1,48438,bd846a59b7cda011db9531183269a1a06586ea19,True,False,,,1,0,0
4844,245,passed,True,False,BuildCraft/BuildCraft,java,19,1,48438,2fddee938997cdb144493fd78b4ec3b8f7ce00a4,True,False,,,1,0,0
4857,273,passed,True,False,BuildCraft/BuildCraft,java,20,1,48553,cfecffbd372c268c1475a2f2968a2f37f7b0a15d,True,True,1818.0,20.0,1,0,5
4858,276,passed,True,False,BuildCraft/BuildCraft,java,19,1,48579,5e9ed450144789e6a64e8312bdabce0861fe304d,True,True,1819.0,49.0,0,0,5
4900,328,passed,True,False,BuildCraft/BuildCraft,java,19,1,48863,0b0cde44c09b10a7cc4b907ee9f6de24e2fee42d,True,True,1834.0,83.0,0,9,2
4904,340,passed,True,False,BuildCraft/BuildCraft,java,19,1,48927,379ea6e278f74633ae323493ec1c95f5cb4b34de,True,False,,,2,0,0
4907,343,passed,True,False,BuildCraft/BuildCraft,java,19,1,48536,e2333479047368db3374af48967ac0dfcb37b0f4,True,True,1852.0,5.0,2,0,0
4909,346,passed,True,False,BuildCraft/BuildCraft,java,19,1,48540,380fd0662a4a0f6256eb3228c0968ea99414a764,True,True,1854.0,5.0,2,0,0
4915,369,failed,False,False,BuildCraft/BuildCraft,java,18,1,39267,d946f8d93639313fc6f2caae67816c74622d54fd,False,False,,,20,0,0
4932,379,passed,True,False,BuildCraft/BuildCraft,java,18,1,49223,ab2401e9803224951ae66c403bde45d84680c57a,True,True,1859.0,13.0,0,0,1
4962,432,failed,True,False,BuildCraft/BuildCraft,java,18,1,48556,c095aaee81f578495f96272e7035816fbb436721,True,True,1872.0,29.0,1,0,0
4963,433,failed,False,False,BuildCraft/BuildCraft,java,18,1,50790,53b517629734f00570d92deb811ed9f9ce80c573,True,False,,,1,0,0
4974,456,passed,True,False,BuildCraft/BuildCraft,java,18,1,51533,b1076d85566d660a48fc2cf29f73812d3577ca49,True,False,,,2,0,0
4975,457,passed,True,False,BuildCraft/BuildCraft,java,18,1,51507,d76c3d98640e7b114cef33edcb68007b0c704294,True,True,1883.0,26.0,1,0,0
4976,459,passed,True,False,BuildCraft/BuildCraft,java,18,1,51533,234ac4732480f070431aa499a0bbc49f35f777ab,True,True,1885.0,18.0,1,0,0
4977,461,passed,True,False,BuildCraft/BuildCraft,java,18,1,51557,71687ec20c79ea9529514fd55478c07c10d40591,True,False,,,1,0,0
4978,468,passed,True,False,BuildCraft/BuildCraft,java,18,1,48556,7deab46612fa5eefd246eb2fa1a3150e4da64c71,True,True,1887.0,19.0,3,0,0
4984,477,passed,True,False,BuildCraft/BuildCraft,java,18,1,51840,44d4e4e3b9b5e082a9818b33fcaefa82d01c227e,True,False,,,1,0,0
4991,488,passed,True,False,BuildCraft/BuildCraft,java,18,1,52562,0a23eafb4079e1afa93236c01497476add1048c9,True,True,1892.0,11.0,0,0,2
5003,507,passed,True,False,BuildCraft/BuildCraft,java,18,1,48560,5e474ae3c28ab5764fd0f03d3684b2167db88324,True,True,1894.0,20.0,1,0,5
5036,556,failed,False,False,BuildCraft/BuildCraft,java,18,1,39269,ba9b458cbdf4d5f60629cf40bd53c5f703615609,True,True,1919.0,94.0,5,0,0
5048,569,passed,True,False,BuildCraft/BuildCraft,java,18,1,55245,1917f11f977411bc04bc54621ee6814842ad3dae,True,False,,,1,0,0
5058,579,passed,True,False,BuildCraft/BuildCraft,java,18,2,48560,fa71459d22fd3121f0618b0eb21f7473c3df3c95,False,True,1928.0,59.0,1,0,0
5064,585,passed,True,False,BuildCraft/BuildCraft,java,18,1,48560,283f52179688595aa4b6e3545c108a79d4925ce3,False,True,1928.0,59.0,0,4,7
5074,595,passed,True,False,BuildCraft/BuildCraft,java,18,1,56318,aa93b028aa7c8e64a2c4bdd9b3b5c49bf7019bbe,True,True,1932.0,26.0,2,0,0
5075,596,failed,False,False,BuildCraft/BuildCraft,java,18,1,56340,addad59d082404923fa26642903e958a82aa476b,True,False,,,2,0,0
5080,623,passed,True,False,BuildCraft/BuildCraft,java,18,2,56563,03a502e7487dbfc5047b6e6ab01c0d9ebbad070c,False,True,1937.0,191.0,0,0,3
5084,641,passed,True,False,BuildCraft/BuildCraft,java,17,1,57644,3cd8bc9cc9074a6eb9eabf5fd8e7a0d64574a736,True,True,1950.0,26.0,2,0,0
5087,646,passed,True,False,BuildCraft/BuildCraft,java,17,1,48541,420fee4d349b2085ac5271c62edfaf1247b8f2c0,True,False,,,2,0,0
5141,720,passed,True,False,BuildCraft/BuildCraft,java,13,1,63230,e5be428ad0173cce5ba576882e695f69fce00ff6,True,True,2001.0,29.0,0,1,4
5145,725,passed,True,False,BuildCraft/BuildCraft,java,13,1,48556,5ae55c26634828f468ed58447ad064b8223ba1a2,True,False,,,2,0,0
5147,726,passed,True,False,BuildCraft/BuildCraft,java,13,1,63356,97cfb13de613ae0da07e7859526f6556df2aea4f,True,False,,,2,0,0
5154,749,passed,True,False,BuildCraft/BuildCraft,java,13,2,63100,2bdefd2f92c6b653332e92f64d93552b48190e5f,True,True,2011.0,96.0,3,0,0
5171,787,passed,True,False,BuildCraft/BuildCraft,java,12,1,63913,713ce68e7d7b04828c49f1621e05f13d4c5224ef,True,True,2020.0,24.0,2,0,0
5174,792,failed,True,False,BuildCraft/BuildCraft,java,12,1,63915,c9859e51fb1b418ee9e341a7d739fa91b60612c8,True,True,2023.0,32.0,5,0,0
5177,813,failed,True,False,BuildCraft/BuildCraft,java,12,1,63999,4309a70c96856ba4f2de8bb23fb8694a7411e77a,True,True,2025.0,22.0,0,0,1
5178,816,passed,True,False,BuildCraft/BuildCraft,java,12,1,63998,ebde2440fa5aa8f8bc80efa286a7fba48ad20fc6,True,True,2025.0,22.0,0,1,0
5179,825,passed,True,False,BuildCraft/BuildCraft,java,13,1,64008,009c4a8d85e31b56b5975216932a361136f85403,True,True,2032.0,7.0,0,1,1
5180,831,passed,True,False,BuildCraft/BuildCraft,java,13,1,48556,07d67a78f944937606764867999a99ce1e43a66f,True,True,2038.0,24.0,7,0,0
5200,859,failed,True,False,BuildCraft/BuildCraft,java,14,1,64071,cba1b0848336a3197f2e74cbf6a8236163ba7c3e,True,True,2051.0,29.0,2,0,0
5207,870,failed,True,False,BuildCraft/BuildCraft,java,14,1,64089,2c668d6da6ecdbd3b24441742f21b7ba5854d2b6,True,True,2059.0,11.0,2,0,0
5211,877,failed,True,False,BuildCraft/BuildCraft,java,14,1,64082,32a9d625d8d65b6a628faa55a9bcbec3afb55a17,True,False,,,1,0,0
5218,886,passed,True,False,BuildCraft/BuildCraft,java,14,1,64118,10b224b21c5d08bd2236b23ca47cb9e97c00f84e,True,False,,,2,0,0
5219,887,passed,True,False,BuildCraft/BuildCraft,java,14,1,64130,b9657e8bbc6ae531e94f2fb928208389ea1f37c9,True,False,,,2,0,0
5223,891,errored,True,False,BuildCraft/BuildCraft,java,14,1,64138,3836644a108911f49f308aa86caca0de699cc925,True,True,2069.0,66.0,0,0,2
5284,961,failed,True,False,BuildCraft/BuildCraft,java,14,1,63261,489a3cc6f7f6d55009a4bba66e16ba4bc7541429,True,False,,,1,0,0
5309,986,errored,False,False,BuildCraft/BuildCraft,java,14,1,63421,02bb70ec53a9a7907011cbc2cb05d6e098f6c141,True,False,,,1,0,0
5311,988,failed,False,False,BuildCraft/BuildCraft,java,14,1,63288,c04fc8a66af1f6c8df3ffa94ff2b2ecbed8fc483,True,True,2133.0,2.0,1,0,0
5324,1003,passed,True,False,BuildCraft/BuildCraft,java,14,1,63292,d0506b8a4948d638e211d5dd6a5d60e1d9ba68ef,True,False,,,1,0,0
5357,1035,failed,True,False,BuildCraft/BuildCraft,java,14,1,63381,efdbeb31aaea760e1948ff9df3faca3f1d304284,True,False,,,2,0,0
5362,1043,failed,True,False,BuildCraft/BuildCraft,java,15,1,63101,86e2fde283994fdcadb7ac2f8adc77ead7fe3ec6,True,False,,,1,0,0
5382,1067,failed,True,False,BuildCraft/BuildCraft,java,16,1,63227,58ee6f2df4c830f73d294d56ea8732273ae52f58,True,False,,,1,0,0
5384,1069,failed,True,False,BuildCraft/BuildCraft,java,16,1,63350,70396e7e24084c233f87efa6798e198523ff6099,True,False,,,1,0,0
5385,1070,failed,True,False,BuildCraft/BuildCraft,java,16,1,63381,86b9b7fbd1d0c4c5495f204305713f34806b9fcf,True,False,,,2,0,0
5394,1082,failed,True,False,BuildCraft/BuildCraft,java,15,1,63623,ee0c036f199db44a38f1253c2237bfb2a85606d2,True,False,,,1,0,0
5395,1084,failed,True,False,BuildCraft/BuildCraft,java,15,1,62541,bceb1b375ec069022b4e2c33b3679503e82d2c28,True,False,,,1,0,0
5403,1092,failed,True,False,BuildCraft/BuildCraft,java,15,1,62574,3437d578186a6e7baae359acd6de6119bca53395,True,False,,,1,0,0
5406,1095,failed,True,False,BuildCraft/BuildCraft,java,15,1,62575,d2128417d9f1b44f1643a28182a0a0f04325b867,True,False,,,1,0,0
5407,1097,failed,False,False,BuildCraft/BuildCraft,java,15,1,62358,6dda5f48f7d0a9eb272d449447fbdd2a9a672436,True,False,,,1,0,0
5408,1098,failed,True,False,BuildCraft/BuildCraft,java,15,1,62619,ff999aa316841655ee0779a25461e3d1d0c77619,True,False,,,1,0,0
5461,1140,failed,True,False,BuildCraft/BuildCraft,java,12,1,62320,611f302498b2f6134f711d795846e34e9e923795,True,True,2291.0,114.0,4,2,1
5462,1141,failed,True,False,BuildCraft/BuildCraft,java,12,1,62728,51d8c06b9fc4528a3357e750c50ffe01830beaaf,True,False,,,4,0,0
5464,1143,failed,True,False,BuildCraft/BuildCraft,java,12,1,62735,6858738d4dd6fc1e233e07b1dc3379d3dd1b0b8b,True,False,,,2,0,0
5472,1155,failed,True,False,BuildCraft/BuildCraft,java,11,1,62858,516c680b91dc386c7c18d116701af55fbb97480f,True,False,,,1,0,0
5494,1169,failed,False,False,BuildCraft/BuildCraft,java,11,1,62263,f96c4c9bd8aa190bbae0d917dfcf1772647b981a,True,False,,,2,0,0
5497,1173,passed,True,False,BuildCraft/BuildCraft,java,11,1,62838,94f4787ab7010f159d49ac5b5147fd4a0267a085,True,False,,,2,0,0
5507,1183,failed,False,False,BuildCraft/BuildCraft,java,11,1,62577,611d05b5fea1831a8ebef2bfa9a50c1dc28d45b9,True,True,2313.0,31.0,0,0,1
5523,1212,failed,False,False,BuildCraft/BuildCraft,java,9,1,59200,52b095adf1ecc753d395277887f8b29a7aa995f9,False,False,,,1,0,0
5538,1232,failed,False,False,BuildCraft/BuildCraft,java,10,2,59898,605e87444da77ec934a70540a55e2971bed80a77,False,True,2333.0,1.0,1,0,0
5543,1240,failed,True,False,BuildCraft/BuildCraft,java,10,2,62881,11becc8310bc7386acc6ad40739f19e75d111376,False,False,,,2,0,0
5633,1329,failed,True,False,BuildCraft/BuildCraft,java,10,1,63957,173e068ed8a7cc12f83b2a12119120c3e3434f87,True,False,,,2,0,0
5634,1330,passed,True,False,BuildCraft/BuildCraft,java,10,1,63570,6bc4db05a70f09c28d3e58924f73e1f79735e4fb,True,False,,,2,0,0
5646,1354,passed,True,False,BuildCraft/BuildCraft,java,10,1,63571,b23261e91714b55c1d36b9d165ee52af08469123,True,True,2437.0,11.0,1,0,0
5669,1379,failed,False,False,BuildCraft/BuildCraft,java,10,2,60049,a20c25b58734b35d1eca782c0fea3ed1aab6000c,False,True,2448.0,52.0,3,0,0
5674,1391,errored,True,False,BuildCraft/BuildCraft,java,9,1,64615,35d0254d8c12aec18763dbd33d29c2bc1671754e,True,True,2466.0,11.0,0,0,2
5677,1400,passed,True,False,BuildCraft/BuildCraft,java,9,1,65058,0d7f0089cdacb37ec1706b0236c97ca9e195d8cb,False,True,2478.0,145.0,2,0,0
5678,1406,failed,True,False,BuildCraft/BuildCraft,java,9,1,60051,16ec13598327a22f08235e760b46def5754abdc3,True,True,2480.0,70.0,4,0,4
5679,1409,passed,True,False,BuildCraft/BuildCraft,java,9,2,63697,604e8d4335a15188e380c100be29357164b38837,False,False,,,4,0,0
5692,1417,passed,True,False,BuildCraft/BuildCraft,java,9,1,65076,1f3a4ff2e6d977644fec25f2c60d8427dca02953,True,False,,,1,0,0
5721,1450,errored,False,False,BuildCraft/BuildCraft,java,9,1,65615,bb4d8f8486c711937525fe553cce573e14294039,True,True,2507.0,4.0,0,0,1
5724,1462,failed,True,False,BuildCraft/BuildCraft,java,9,1,65703,850b8f6dfd4cf6d49bfd8bc2e72cd7826bcdd7b0,True,False,,,2,0,0
5739,1478,failed,True,False,BuildCraft/BuildCraft,java,9,1,65827,b8e4a0b59933159d718c89538a3a3265f469dd0a,True,False,,,2,0,0
5742,1481,failed,True,False,BuildCraft/BuildCraft,java,9,1,65939,9c67339acf31b5a32ec6a55de85984d9559cc11e,True,False,,,1,0,0
5770,1533,failed,False,False,BuildCraft/BuildCraft,java,9,1,66480,0b4ee815d335249c7451bc48ab8536c8fa7c6f14,True,False,,,3,0,0
5771,1534,failed,False,False,BuildCraft/BuildCraft,java,9,1,65768,c5408d95d632915fc7cec0d58736c27ba4228984,True,False,,,3,0,0
5814,1579,passed,True,False,BuildCraft/BuildCraft,java,7,1,65843,2c721274951653cc6ae3b4e9da1612f6d7745d76,True,False,,,2,0,0
5872,1657,passed,True,False,BuildCraft/BuildCraft,java,5,1,69757,8c77c24363c64982dd6df357013a612c7b18de70,True,False,,,3,0,0
5875,1662,passed,True,False,BuildCraft/BuildCraft,java,5,1,65981,d4b6be21b0cabcd14588d8d16394292bb56d54af,True,False,,,3,0,0
5877,1666,failed,True,False,BuildCraft/BuildCraft,java,5,1,70630,ce2f0804d4aba3680ce9ed61bb70feca55404a71,True,False,,,1,0,0
